timestep_4,region_4,technology_3,parameter,value
hh0017,63BA,heatpumpAirSpace,effConv,4.06
hh0018,63BA,heatpumpAirSpace,effConv,4.052449334
hh0019,63BA,heatpumpAirSpace,effConv,3.939042038
hh0020,63BA,heatpumpAirSpace,effConv,3.97811799
hh0021,63BA,heatpumpAirSpace,effConv,3.350407964
hh0022,63BA,heatpumpAirSpace,effConv,3.839533628
hh0023,63BA,heatpumpAirSpace,effConv,2.684165177
hh0024,63BA,heatpumpAirSpace,effConv,3.505780081
hh0001,67MK,heatpumpAirSpace,effConv,2.546225522
hh0002,67MK,heatpumpAirSpace,effConv,3.142346328
hh0003,67MK,heatpumpAirSpace,effConv,3.244517336
hh0004,67MK,heatpumpAirSpace,effConv,3.766881076
hh0005,67MK,heatpumpAirSpace,effConv,3.983948739
hh0006,67MK,heatpumpAirSpace,effConv,3.806834761
hh0007,67MK,heatpumpAirSpace,effConv,3.901075633
hh0008,67MK,heatpumpAirSpace,effConv,3.995081528
hh0009,67MK,heatpumpAirSpace,effConv,4.045378814
hh0010,67MK,heatpumpAirSpace,effConv,4.06
hh0011,67MK,heatpumpAirSpace,effConv,4.06
hh0012,67MK,heatpumpAirSpace,effConv,4.06
hh0013,67MK,heatpumpAirSpace,effConv,4.056983297
hh0014,67MK,heatpumpAirSpace,effConv,4.053966593
hh0015,67MK,heatpumpAirSpace,effConv,4.06
hh0016,67MK,heatpumpAirSpace,effConv,4.06
hh0017,67MK,heatpumpAirSpace,effConv,4.04281383
hh0018,67MK,heatpumpAirSpace,effConv,3.978053535
hh0019,67MK,heatpumpAirSpace,effConv,3.934729879
hh0020,67MK,heatpumpAirSpace,effConv,3.922713705
hh0021,67MK,heatpumpAirSpace,effConv,3.440372147
hh0022,67MK,heatpumpAirSpace,effConv,3.870716214
hh0023,67MK,heatpumpAirSpace,effConv,2.18
hh0024,67MK,heatpumpAirSpace,effConv,3.055376148
hh0001,73EE,heatpumpAirSpace,effConv,2.854470115
hh0002,73EE,heatpumpAirSpace,effConv,3.534841849
hh0003,73EE,heatpumpAirSpace,effConv,3.451613652
hh0004,73EE,heatpumpAirSpace,effConv,3.649714008
hh0005,73EE,heatpumpAirSpace,effConv,3.738438379
hh0006,73EE,heatpumpAirSpace,effConv,3.498938616
hh0007,73EE,heatpumpAirSpace,effConv,3.658100518
hh0008,73EE,heatpumpAirSpace,effConv,3.874220385
hh0009,73EE,heatpumpAirSpace,effConv,4.046387673
hh0010,73EE,heatpumpAirSpace,effConv,4.06
hh0011,73EE,heatpumpAirSpace,effConv,4.06
hh0012,73EE,heatpumpAirSpace,effConv,4.06
hh0013,73EE,heatpumpAirSpace,effConv,4.06
hh0014,73EE,heatpumpAirSpace,effConv,4.06
hh0015,73EE,heatpumpAirSpace,effConv,4.06
hh0016,73EE,heatpumpAirSpace,effConv,4.06
hh0017,73EE,heatpumpAirSpace,effConv,4.029406867
hh0018,73EE,heatpumpAirSpace,effConv,4.008256869
hh0019,73EE,heatpumpAirSpace,effConv,3.835534634
hh0020,73EE,heatpumpAirSpace,effConv,3.743762371
hh0021,73EE,heatpumpAirSpace,effConv,3.453525056
hh0022,73EE,heatpumpAirSpace,effConv,3.557619678
hh0023,73EE,heatpumpAirSpace,effConv,2.45
hh0024,73EE,heatpumpAirSpace,effConv,3.164584323
hh0001,41PL,heatpumpAirSpace,effConv,2.854470115
hh0002,41PL,heatpumpAirSpace,effConv,3.534841849
hh0003,41PL,heatpumpAirSpace,effConv,3.451613652
hh0004,41PL,heatpumpAirSpace,effConv,3.649714008
hh0005,41PL,heatpumpAirSpace,effConv,3.738438379
hh0006,41PL,heatpumpAirSpace,effConv,3.498938616
hh0007,41PL,heatpumpAirSpace,effConv,3.658100518
hh0008,41PL,heatpumpAirSpace,effConv,3.874220385
hh0009,41PL,heatpumpAirSpace,effConv,4.046387673
hh0010,41PL,heatpumpAirSpace,effConv,4.06
hh0011,41PL,heatpumpAirSpace,effConv,4.06
hh0012,41PL,heatpumpAirSpace,effConv,4.06
hh0013,41PL,heatpumpAirSpace,effConv,4.06
hh0014,41PL,heatpumpAirSpace,effConv,4.06
hh0015,41PL,heatpumpAirSpace,effConv,4.06
hh0016,41PL,heatpumpAirSpace,effConv,4.06
hh0017,41PL,heatpumpAirSpace,effConv,4.029406867
hh0018,41PL,heatpumpAirSpace,effConv,4.008256869
hh0019,41PL,heatpumpAirSpace,effConv,3.835534634
hh0020,41PL,heatpumpAirSpace,effConv,3.743762371
hh0021,41PL,heatpumpAirSpace,effConv,3.453525056
hh0022,41PL,heatpumpAirSpace,effConv,3.557619678
hh0023,41PL,heatpumpAirSpace,effConv,2.45
hh0024,41PL,heatpumpAirSpace,effConv,3.164584323
hh0001,42PL,heatpumpAirSpace,effConv,2.854470115
hh0002,42PL,heatpumpAirSpace,effConv,3.534841849
hh0003,42PL,heatpumpAirSpace,effConv,3.451613652
hh0004,42PL,heatpumpAirSpace,effConv,3.649714008
hh0005,42PL,heatpumpAirSpace,effConv,3.738438379
hh0006,42PL,heatpumpAirSpace,effConv,3.498938616
hh0007,42PL,heatpumpAirSpace,effConv,3.658100518
hh0008,42PL,heatpumpAirSpace,effConv,3.874220385
hh0009,42PL,heatpumpAirSpace,effConv,4.046387673
hh0010,42PL,heatpumpAirSpace,effConv,4.06
hh0011,42PL,heatpumpAirSpace,effConv,4.06
hh0012,42PL,heatpumpAirSpace,effConv,4.06
hh0013,42PL,heatpumpAirSpace,effConv,4.06
hh0014,42PL,heatpumpAirSpace,effConv,4.06
hh0015,42PL,heatpumpAirSpace,effConv,4.06
hh0016,42PL,heatpumpAirSpace,effConv,4.06
hh0017,42PL,heatpumpAirSpace,effConv,4.029406867
hh0018,42PL,heatpumpAirSpace,effConv,4.008256869
hh0019,42PL,heatpumpAirSpace,effConv,3.835534634
hh0020,42PL,heatpumpAirSpace,effConv,3.743762371
hh0021,42PL,heatpumpAirSpace,effConv,3.453525056
hh0022,42PL,heatpumpAirSpace,effConv,3.557619678
hh0023,42PL,heatpumpAirSpace,effConv,2.45
hh0024,42PL,heatpumpAirSpace,effConv,3.164584323
hh0001,43PL,heatpumpAirSpace,effConv,2.854470115
hh0002,43PL,heatpumpAirSpace,effConv,3.534841849
hh0003,43PL,heatpumpAirSpace,effConv,3.451613652
hh0004,43PL,heatpumpAirSpace,effConv,3.649714008
hh0005,43PL,heatpumpAirSpace,effConv,3.738438379
hh0006,43PL,heatpumpAirSpace,effConv,3.498938616
hh0007,43PL,heatpumpAirSpace,effConv,3.658100518
hh0008,43PL,heatpumpAirSpace,effConv,3.874220385
hh0009,43PL,heatpumpAirSpace,effConv,4.046387673
hh0010,43PL,heatpumpAirSpace,effConv,4.06
hh0011,43PL,heatpumpAirSpace,effConv,4.06
hh0012,43PL,heatpumpAirSpace,effConv,4.06
hh0013,43PL,heatpumpAirSpace,effConv,4.06
hh0014,43PL,heatpumpAirSpace,effConv,4.06
hh0015,43PL,heatpumpAirSpace,effConv,4.06
hh0016,43PL,heatpumpAirSpace,effConv,4.06
hh0017,43PL,heatpumpAirSpace,effConv,4.029406867
hh0018,43PL,heatpumpAirSpace,effConv,4.008256869
hh0019,43PL,heatpumpAirSpace,effConv,3.835534634
hh0020,43PL,heatpumpAirSpace,effConv,3.743762371
hh0021,43PL,heatpumpAirSpace,effConv,3.453525056
hh0022,43PL,heatpumpAirSpace,effConv,3.557619678
hh0023,43PL,heatpumpAirSpace,effConv,2.45
hh0024,43PL,heatpumpAirSpace,effConv,3.164584323
hh0001,44PL,heatpumpAirSpace,effConv,2.854470115
hh0002,44PL,heatpumpAirSpace,effConv,3.534841849
hh0003,44PL,heatpumpAirSpace,effConv,3.451613652
hh0004,44PL,heatpumpAirSpace,effConv,3.649714008
hh0005,44PL,heatpumpAirSpace,effConv,3.738438379
hh0006,44PL,heatpumpAirSpace,effConv,3.498938616
hh0007,44PL,heatpumpAirSpace,effConv,3.658100518
hh0008,44PL,heatpumpAirSpace,effConv,3.874220385
hh0009,44PL,heatpumpAirSpace,effConv,4.046387673
hh0010,44PL,heatpumpAirSpace,effConv,4.06
hh0011,44PL,heatpumpAirSpace,effConv,4.06
hh0012,44PL,heatpumpAirSpace,effConv,4.06
hh0013,44PL,heatpumpAirSpace,effConv,4.06
hh0014,44PL,heatpumpAirSpace,effConv,4.06
hh0015,44PL,heatpumpAirSpace,effConv,4.06
hh0016,44PL,heatpumpAirSpace,effConv,4.06
hh0017,44PL,heatpumpAirSpace,effConv,4.029406867
hh0018,44PL,heatpumpAirSpace,effConv,4.008256869
hh0019,44PL,heatpumpAirSpace,effConv,3.835534634
hh0020,44PL,heatpumpAirSpace,effConv,3.743762371
hh0021,44PL,heatpumpAirSpace,effConv,3.453525056
hh0022,44PL,heatpumpAirSpace,effConv,3.557619678
hh0023,44PL,heatpumpAirSpace,effConv,2.45
hh0024,44PL,heatpumpAirSpace,effConv,3.164584323
hh0001,45PL,heatpumpAirSpace,effConv,2.854470115
hh0002,45PL,heatpumpAirSpace,effConv,3.534841849
hh0003,45PL,heatpumpAirSpace,effConv,3.451613652
hh0004,45PL,heatpumpAirSpace,effConv,3.649714008
hh0005,45PL,heatpumpAirSpace,effConv,3.738438379
hh0006,45PL,heatpumpAirSpace,effConv,3.498938616
hh0007,45PL,heatpumpAirSpace,effConv,3.658100518
hh0008,45PL,heatpumpAirSpace,effConv,3.874220385
hh0009,45PL,heatpumpAirSpace,effConv,4.046387673
hh0010,45PL,heatpumpAirSpace,effConv,4.06
hh0011,45PL,heatpumpAirSpace,effConv,4.06
hh0012,45PL,heatpumpAirSpace,effConv,4.06
hh0013,45PL,heatpumpAirSpace,effConv,4.06
hh0014,45PL,heatpumpAirSpace,effConv,4.06
hh0015,45PL,heatpumpAirSpace,effConv,4.06
hh0016,45PL,heatpumpAirSpace,effConv,4.06
hh0017,45PL,heatpumpAirSpace,effConv,4.029406867
hh0018,45PL,heatpumpAirSpace,effConv,4.008256869
hh0019,45PL,heatpumpAirSpace,effConv,3.835534634
hh0020,45PL,heatpumpAirSpace,effConv,3.743762371
hh0021,45PL,heatpumpAirSpace,effConv,3.453525056
hh0022,45PL,heatpumpAirSpace,effConv,3.557619678
hh0023,45PL,heatpumpAirSpace,effConv,2.45
hh0024,45PL,heatpumpAirSpace,effConv,3.164584323
hh0001,62HR,heatpumpAirSpace,effConv,2.903162642
hh0002,62HR,heatpumpAirSpace,effConv,3.528608324
hh0003,62HR,heatpumpAirSpace,effConv,3.493346051
hh0004,62HR,heatpumpAirSpace,effConv,3.81225972
hh0005,62HR,heatpumpAirSpace,effConv,3.954246652
hh0006,62HR,heatpumpAirSpace,effConv,3.877151117
hh0007,62HR,heatpumpAirSpace,effConv,3.959115192
hh0008,62HR,heatpumpAirSpace,effConv,4.024242436
hh0009,62HR,heatpumpAirSpace,effConv,4.06
hh0010,62HR,heatpumpAirSpace,effConv,4.06
hh0011,62HR,heatpumpAirSpace,effConv,4.06
hh0012,62HR,heatpumpAirSpace,effConv,4.06
hh0013,62HR,heatpumpAirSpace,effConv,4.06
hh0014,62HR,heatpumpAirSpace,effConv,4.06
hh0015,62HR,heatpumpAirSpace,effConv,4.06
hh0016,62HR,heatpumpAirSpace,effConv,4.06
hh0017,62HR,heatpumpAirSpace,effConv,4.06
hh0018,62HR,heatpumpAirSpace,effConv,4.052449334
hh0019,62HR,heatpumpAirSpace,effConv,3.939042038
hh0020,62HR,heatpumpAirSpace,effConv,3.97811799
hh0021,62HR,heatpumpAirSpace,effConv,3.350407964
hh0022,62HR,heatpumpAirSpace,effConv,3.839533628
hh0023,62HR,heatpumpAirSpace,effConv,2.684165177
hh0024,62HR,heatpumpAirSpace,effConv,3.505780081
hh0001,39CZ,heatpumpAirSpace,effConv,2.793571734
hh0002,39CZ,heatpumpAirSpace,effConv,3.525526243
hh0003,39CZ,heatpumpAirSpace,effConv,3.425798694
hh0004,39CZ,heatpumpAirSpace,effConv,3.643805283
hh0005,39CZ,heatpumpAirSpace,effConv,3.707520804
hh0006,39CZ,heatpumpAirSpace,effConv,3.477427231
hh0007,39CZ,heatpumpAirSpace,effConv,3.702666586
hh0008,39CZ,heatpumpAirSpace,effConv,3.861241003
hh0009,39CZ,heatpumpAirSpace,effConv,4.034889051
hh0010,39CZ,heatpumpAirSpace,effConv,4.056364631
hh0011,39CZ,heatpumpAirSpace,effConv,4.06
hh0012,39CZ,heatpumpAirSpace,effConv,4.06
hh0013,39CZ,heatpumpAirSpace,effConv,4.06
hh0014,39CZ,heatpumpAirSpace,effConv,4.06
hh0015,39CZ,heatpumpAirSpace,effConv,4.06
hh0016,39CZ,heatpumpAirSpace,effConv,4.06
